-11.32,-17.94,2.49,11.07
-9.13,4.08,17.13,94.51
-24.75,-15.6,-27.06,-65.79
-27.43,-11.52,-5.2,18.13
10.93,7.82,9.1,51.54
13.97,14.54,-21.8,-30.48
25.93,-23.55,-2.47,-58.89
-5.99,29.82,7.97,105.42
9.96,-18.71,-23.31,-91.35
-11.8,2.1,15.7,84.29
-24.62,25.53,-15.49,56.22
-15.43,-13.31,12.55,48.9
-12.49,4.49,-14.59,-0.39
24.63,-16.91,-15.2,-86.27
-17.19,-10.62,-2.05,7.55
17.46,2.03,-20.54,-53.54
17.53,-13.37,-11.46,-50.79
1.84,6.34,-9.68,5.46
-3.16,-1.96,13.44,63.36
-26.43,-15.74,13.48,61.67
1.25,24.44,18.72,126.45
-19.16,2.1,-24.37,-24.82
29.93,-9.25,-16.25,-69.72
11.79,-10.12,22.93,60.54
27.61,27.06,6.16,67.79
-11.3,-8.0,11.72,53.01
12.25,25.9,-27.41,-15.52
10.46,-28.2,14.77,-0.7
28.35,16.96,-2.2,21.14
2.22,-2.86,12.1,55.69
27.16,10.88,-17.3,-32.5
-27.4,16.74,14.1,127.62
25.87,16.18,-2.8,20.61
-27.99,9.39,-20.61,8.14
19.71,-21.56,8.34,-14.19
8.22,16.11,6.86,67.33
18.9,24.95,-0.99,51.36
-19.36,-26.55,-11.76,-48.17
-12.32,12.99,15.95,104.68
2.88,-15.2,-5.76,-27.59
5.58,10.03,-20.38,-23.74
20.61,-20.26,-17.2,-86.04
29.72,1.87,-28.67,-90.38
10.61,-29.86,-23.23,-110.48
17.94,-9.81,-12.69,-52.67
-25.66,8.2,19.21,122.32
-22.38,-1.63,-26.86,-38.17
3.84,-1.55,-16.18,-37.81
26.09,-12.86,-27.63,-110.07
12.94,-16.68,-5.9,-38.63
-28.11,13.61,13.77,120.87
21.74,-18.86,-14.28,-83.19
16.14,-10.06,4.17,-6.86
-8.22,8.8,16.01,100.0
-19.48,-19.51,-5.85,-17.93
-1.22,25.21,1.82,78.16
15.46,-16.4,-1.81,-31.42
9.76,0.27,-20.72,-47.55
-6.03,-1.59,29.3,108.12
-16.22,0.39,-23.28,-25.39
15.92,19.62,-28.01,-35.18
5.17,-5.97,-18.83,-57.1
-21.91,6.38,23.46,132.25
-12.64,6.65,13.54,95.18
-6.42,-21.92,-15.18,-56.84
24.9,-4.79,-29.6,-97.05
-28.97,-11.17,22.51,95.09
18.31,4.51,-27.15,-66.84
-24.75,-5.47,-12.99,-1.7
19.36,-19.74,-11.4,-67.02
9.43,5.8,-29.99,-70.0
11.32,8.26,-27.06,-54.87
14.85,-23.01,-19.49,-96.25
3.69,16.77,-14.45,11.39
28.12,-18.86,-23.19,-109.74
17.31,9.98,-0.19,25.73
12.58,-18.58,6.02,-11.03
-19.09,-2.64,27.06,117.91
-13.17,-9.97,27.87,100.93
8.4,28.02,-12.17,39.1
-7.14,-6.89,21.65,78.14
-11.17,23.79,18.5,139.68
1.95,20.39,25.05,137.18
9.25,-2.46,-8.28,-16.69
7.81,22.8,27.82,148.6
13.68,-3.11,25.53,77.24
15.3,-23.2,18.12,14.02
-9.63,-5.05,25.44,92.55
-25.02,-27.45,29.98,87.64
-3.57,-7.78,-9.34,-15.87
-12.44,-27.54,-2.06,-23.3
28.87,21.6,16.48,80.65
-24.04,-9.52,11.35,59.93
22.96,-24.83,-7.82,-76.64
20.65,-28.42,24.52,19.93
6.06,26.32,-16.34,18.06
-9.95,-2.45,15.64,73.15
-28.35,-25.94,-22.78,-73.25
-13.28,-4.18,-9.0,1.02
24.2,18.5,18.91,90.25
19.04,7.61,22.49,87.21
17.35,27.84,-25.53,-17.12
-15.29,-12.08,10.75,44.69
12.63,-23.61,7.65,-15.66
20.08,-29.37,1.03,-53.6
-21.44,0.28,4.64,57.25
11.4,28.39,8.35,91.91
-4.96,-8.33,12.68,52.78
5.43,-26.58,25.3,48.03
-8.25,-29.42,19.93,33.84
7.81,13.85,-29.58,-44.94
-2.71,-19.03,-8.44,-39.49
-2.77,-6.23,14.24,54.31
25.17,-27.86,-23.99,-130.19
-27.69,-10.16,-27.7,-55.6
-11.98,14.54,-17.22,13.21
-28.02,11.3,-10.91,42.85
13.66,2.51,-20.39,-46.72
1.85,25.76,8.42,94.18
29.51,2.5,-6.21,-16.73
13.63,25.16,8.61,81.19
14.57,1.45,10.73,45.39
-3.24,3.49,-1.95,27.37
-14.26,8.96,11.35,88.38
-25.46,29.55,-17.55,56.29
5.6,19.06,-9.33,31.0
-7.07,-22.52,17.84,42.23
-22.11,-22.06,-21.7,-63.29
-29.67,-25.62,19.21,54.63
-8.86,24.78,-27.57,3.25
-27.28,-5.65,12.14,72.28
-2.16,20.79,-28.85,-22.27
15.73,-27.45,4.42,-28.31
24.89,-10.09,-8.8,-51.81
-21.7,17.76,-2.12,74.77
23.1,5.09,15.13,54.42
-21.26,-16.12,-4.04,0.68
6.27,-19.14,-13.43,-64.83
7.4,-0.24,12.08,46.62
0.98,18.66,-28.84,-25.34
-16.06,5.13,10.82,84.3
-29.62,17.85,6.29,103.68
-25.41,-10.27,20.78,88.97
-6.9,-25.08,15.27,30.2
17.57,-28.87,-20.21,-109.92
-6.14,8.51,-2.24,42.43
1.68,-19.18,28.91,73.62
-18.34,-16.97,14.42,48.12
25.23,-12.35,26.56,58.27
-11.78,-29.14,7.97,4.96
-15.72,-18.01,-23.61,-75.0
-6.95,6.18,19.59,99.61
-23.78,-22.55,-13.43,-41.45
-20.49,19.21,10.3,111.43
14.36,-29.06,-21.48,-114.64
-25.45,22.06,-27.57,8.44
-17.2,29.07,3.25,109.13
-17.37,-12.84,-26.89,-65.95
27.89,-1.03,13.74,33.96
24.24,24.59,26.06,131.12
13.85,15.84,16.03,89.53
-28.65,-27.52,-19.35,-59.09
15.34,29.03,-9.62,39.83
29.41,25.33,-5.48,29.93
27.43,-4.98,14.38,30.05
-24.52,8.92,26.94,144.49
-28.83,-22.94,15.39,52.17
16.09,-24.37,-8.34,-63.32
-29.61,-15.54,2.45,28.77
20.33,29.28,20.39,122.61
-26.42,-4.12,24.21,116.6
-27.27,-4.56,20.47,100.3
16.17,11.39,-9.27,-1.63
29.83,20.48,29.91,127.55
-1.09,-27.31,14.41,10.4
-25.28,19.64,-28.67,-0.37
-7.6,-1.22,11.4,65.27
3.57,0.54,4.98,39.88
23.51,-19.71,-23.49,-113.05
10.89,24.07,-3.05,47.88
16.39,2.08,-22.73,-60.84
-26.6,-10.75,-7.45,7.69
-23.9,10.21,13.88,106.39
-7.43,21.6,1.77,73.6
-7.57,-19.19,20.56,48.74
-8.25,-18.47,23.01,65.03
25.21,26.65,-28.58,-30.49
-23.45,19.98,-16.88,34.68
18.64,-18.32,21.38,27.45
-6.38,27.1,-25.89,10.59
18.12,-8.09,-23.9,-79.76
-29.83,12.69,28.25,162.53
4.05,-10.22,-11.38,-35.04
-8.66,-17.64,8.39,22.94
-17.66,-29.06,23.75,52.44
25.44,-1.32,21.42,61.28
23.15,29.17,-10.75,26.13
-11.8,-20.91,-10.27,-37.88
-0.95,-27.06,-4.41,-42.39
3.45,-8.55,-17.77,-47.02
-17.28,-7.86,-14.4,-19.57
-6.99,24.62,-4.45,64.66
-11.59,-16.32,18.37,53.09
-21.1,-27.26,1.44,-7.93
-11.32,-19.19,23.78,68.74
3.2,-9.51,-9.05,-25.24
14.11,15.23,16.54,89.01
11.15,-21.31,3.18,-24.57
9.83,-16.66,-25.12,-98.06
-12.39,-21.99,-19.44,-70.16
7.92,-26.42,-19.22,-91.56
-13.65,5.43,-27.97,-40.52
23.25,21.88,-27.53,-37.94
